key,description,attached to,status,suggested key
social-science.political-science.public-policy.economic-policy.incomes-policy,Study of policies affecting wages incomes and price controls.,Economics|1,valid,
social-science.political-science.public-policy.economic-policy.industrial-policy,Study of policies supporting industrial development.,Economics|1,valid,
social-science.political-science.public-policy.economic-policy.investment-policy,Study of policies guiding investment and capital allocation.,Economics|1,valid,
social-science.political-science.public-policy.economic-policy.monetary-policy,Study of central bank policies on money and interest rates.,Economics|1,valid,
social-science.political-science.public-policy.economic-policy.tax-policy,Study of policies governing taxation and revenue.,Economics|1,valid,
social-science.political-science.public-policy.education-policy,Study of policies governing education systems and access.,Psychology|1,valid,
social-science.political-science.public-policy.energy-policy,Study of policies governing energy production and use.,Physics|1,valid,
social-science.political-science.public-policy.energy-policy.nuclear-energy-policy,Study of policies regulating nuclear energy.,Physics|1,valid,
social-science.political-science.public-policy.energy-policy.renewable-energy-policy,Study of policies promoting renewable energy.,Physics|1,valid,
social-science.political-science.public-policy.environmental-policy,Study of policies protecting the environment.,Earth science|0,valid,
social-science.political-science.public-policy.food-policy,Study of policies governing food systems and nutrition.,Biology|1,valid,
social-science.political-science.public-policy.foreign-policy,Study of a state's external policy and diplomacy.,Political science|0,valid,
social-science.political-science.public-policy.governance,Study of governance structures and decision processes.,Political science|0,valid,
social-science.political-science.public-policy.health-policy,Study of policies governing health systems and public health.,Psychology|1,valid,
social-science.political-science.public-policy.health-policy.pharmaceutical-policy,Study of policies regulating medicines and drug markets.,Biology|1,valid,
social-science.political-science.public-policy.health-policy.vaccination-policy,Study of policies governing vaccination programs.,Biology|1,valid,
social-science.political-science.public-policy.housing-policy,Study of policies on housing supply affordability and regulation.,Economics|1,valid,
social-science.political-science.public-policy.immigration-policy,Study of policies governing migration and citizenship.,Political science|0,valid,
